NAIST,0x678c089e01e99495,2,NAIST,0x1018c1900e,2,LAN
NAIST,0x678c089e01e99495,3,NICT,0x301032039,28,
NAIST,0x678c089e01e99495,11,NAIST,0x5008069821,1,LAN
NAIST,0x1018c1900e,2,NAIST,0x678c089e01e99495,2,LAN
NAIST,0x1018c1900e,4,Osaka,0x2203f1f8f34a,1,GRE
NAIST,0x1018c1900e,3,UCSD,0x188b7ba34e,11,GRE
NAIST,0x1018c1900e,5,UF,0x2219629060,12,GRE
NAIST,0x1018c1900e,11,NCHC,0x40a8f0303b75,5,GRE
NAIST,0x5008069821,1,NAIST,0x678c089e01e99495,11,LAN
Osaka,0x2203f1f8f34a,1,NAIST,0x1018c1900e,4,GRE
Osaka,0x2203f1f8f34a,4,UCSD,0x188b7ba34e,4,GRE
Osaka,0x2203f1f8f34a,5,UF,0x2219629060,10,GRE
NICT,0x201022039,4,UF,0xcaa8089e018237b4,50,
NICT,0x201022039,5,UCSD,0x678c089e01e994e5,6,
NICT,0x201022039,7,NCHC,0x40a8f0303b75,1,TWAREN
NICT,0x201022039,33,NICT,0x301032039,31,
NICT,0x301032039,27,OsakaUmeda,0xf1,48,
NICT,0x301032039,28,NAIST,0x678c089e01e99495,3,
NICT,0x301032039,31,NICT,0x201022039,33,
NCHC,0x40a8f0303b75,1,NICT,0x201022039,7,TWAREN
NCHC,0x40a8f0303b75,5,NAIST,0x1018c1900e,11,GRE
OsakaUmeda,0xf1,48,NICT,0x301032039,27,
OsakaUmeda,0xf1,41,OsakaUmeda,0x3085a99581b7,1,LAN
OsakaUmeda,0x3085a99581b7,1,OsakaUmeda,0xf1,41,LAN
UCSD,0x678c089e01e994e5,4,UCSD,0x188b7ba34e,2,LAN
UCSD,0x678c089e01e994e5,5,UF,0xcaa8089e018237b4,49,Internet2
UCSD,0x678c089e01e994e5,6,NICT,0x201022039,5,
UCSD,0x188b7ba34e,2,UCSD,0x678c089e01e994e5,4,LAN
UCSD,0x188b7ba34e,4,Osaka,0x2203f1f8f34a,4,GRE
UCSD,0x188b7ba34e,10,UF,0x2219629060,11,GRE
UCSD,0x188b7ba34e,11,NAIST,0x1018c1900e,3,GRE
UF,0xcaa8089e018237b4,1,UF,0x2219629060,3,LAN
UF,0xcaa8089e018237b4,49,UCSD,0x678c089e01e994e5,5,Internet2
UF,0xcaa8089e018237b4,50,NICT,0x201022039,4,
UF,0x2219629060,3,UF,0xcaa8089e018237b4,1,LAN
UF,0x2219629060,11,UCSD,0x188b7ba34e,10,GRE
UF,0x2219629060,10,Osaka,0x2203f1f8f34a,5,GRE
UF,0x2219629060,12,NAIST,0x1018c1900e,5,GRE
